SITE2021,Site2021_2,Occupancy,HighestSig,LastSurvey,Site2021NA,SITE2021_3,Site2021_1,Occupancy2021,HighestS_1,LastSurv_1,Site2021_4,Shape_Leng,Shape_Area,TalID,ShapeInd,JulyMax,JanMin,PrcpAnn,PrcpSeas,AET,PET,CWD,HeatLoad,Elev,Slope,Rugged,TPI990m,PTalus
277,277,UNOCCUPIED,PU,2021,Site2021_277,277,277,UNOCCUPIED,PU,2021,Site2021_277,1010,14425,107963,2.102342508,26.40999985,-6.159999847,377.0623108,0.442137474,334.9949341,535.7222168,201.4516815,0.99576453,1973.2,12.5977169,7.06315E-05,-17.93791504,0.0365142
279,279,UNOCCUPIED,PU,2021,Site2021_279,279,279,UNOCCUPIED,PU,2021,Site2021_279,1040,10250,108763,2.568096951,26.95000076,-6.610000134,374.5795288,0.440487951,302.9983826,486.5244446,181.9958496,0.899091721,1946,9.794294357,6.6936E-05,-34.68365479,0.0351759
280,280,UNOCCUPIED,PU,2021,Site2021_280,280,280,UNOCCUPIED,PU,2021,Site2021_280,1040,10250,108763,2.568096951,26.95000076,-6.610000134,374.5795288,0.440487951,302.9983826,486.5244446,181.9958496,0.899091721,1946,9.794294357,6.6936E-05,-34.68365479,0.0351759
491,491,OCCUPIED,"FH, PC",2021,Site2021_491,491,491,OCCUPIED,"FH, PC",2021,Site2021_491,1050,9475,235270,2.696743859,26.1739994,-7.091999912,278.9151978,0.388916993,288.3718018,407.0496033,118.6778015,0.732787776,1874.6,21.47490005,0.000120592,4.168623924,0.0878513
604,604,OCCUPIED,"FS, PC",2019,Site2021_604,604,604,OCCUPIED,"FS, PC",2019,Site2021_604,1100,6775,236752,3.341012066,26.84000015,-7.489999771,254.2266022,0.382976609,284.5983887,522.8250122,237.8695953,0.969644809,1841,6.349528122,4.58241E-05,7.846651936,0.0305295
29,29,UNOCCUPIED,OH,2016,Site2021_29,29,29,UNOCCUPIED,OH,2016,Site2021_29,1110,6275,174719,3.503128937,24.53199997,-7.170000172,480.2539978,0.502036989,276.4001953,466.8839966,189.9208008,0.935013592,2363.6,7.778251886,0.00045203,47.36947937,0.00777758
87,87,UNOCCUPIED,PU,2017,Site2021_87,87,87,UNOCCUPIED,PU,2017,Site2021_87,1110,10725,172704,2.67956525,27.89999962,-7.079999924,299.320015,0.410003036,253.7152824,507.1418839,253.4265938,0.91764845,1928.75,10.72534072,0.000120625,23.37512207,0.0333577
687,687,OCCUPIED,FS,2021,Site2021_687,687,687,OCCUPIED,FS,2021,Site2021_687,1180,12125,232216,2.679051994,26.53000069,-6.659999847,261.8110657,0.407290429,291.5814896,436.43927,143.7229576,0.797925338,1789.5,20.16667843,0.000255629,20.23922729,0.0815636
233,233,UNOCCUPIED,OH,2021,Site2021_233,233,233,UNOCCUPIED,OH,2021,Site2021_233,1200,5850,116443,3.922322703,25.86000061,-6.920000076,374.2850037,0.426438987,310.364801,496.1461914,212.9169983,0.9574754,2149.6,17.47626019,0.000279307,33.37523956,0.00290397
371,371,UNOCCUPIED,OS,2015,Site2021_371,371,371,UNOCCUPIED,OS,2015,Site2021_371,1230,9650,207775,3.130267581,26.54999924,-6.659999847,292.019989,0.392562985,267.9750061,506.5344055,238.9727997,0.963632393,1884.4,9.005369759,6.33121E-05,-6.559911919,0.00563117
603,603,UNOCCUPIED,OH,2019,Site2021_603,603,603,UNOCCUPIED,OH,2019,Site2021_603,1230,9500,236655,3.154883433,26.84000015,-7.489999771,253.8300018,0.383103013,284.9549866,530.9496094,245.9941986,0.984713006,1813.8,6.752349949,3.84331E-05,-5.435815883,0.0304033
605,605,OCCUPIED,FS,2019,Site2021_605,605,605,OCCUPIED,FS,2019,Site2021_605,1230,9500,236655,3.154883433,26.84000015,-7.489999771,253.8300018,0.383103013,284.9549866,530.9496094,245.9941986,0.984713006,1813.8,6.752349949,3.84331E-05,-5.435815883,0.0304033
583,583,OCCUPIED,FH,2021,Site2021_583,583,583,OCCUPIED,FH,2021,Site2021_583,1310,14525,286621,2.71739789,25.81999969,-7.110000134,266.8514709,0.382049412,279.5851364,429.5951691,154.8592949,0.827140778,1938.75,18.9779253,0.000157088,33.45776367,0.0582561
116,116,UNOCCUPIED,OH,2021,Site2021_116,116,116,UNOCCUPIED,OH,2021,Site2021_116,1380,25000,184969,2.181971586,28.25,-7.28000021,277.9631653,0.403086662,242.2487666,529.5950012,285.864329,0.945216646,1863,2.818168998,0.000114431,45.69329834,0.00904018
117,117,UNOCCUPIED,OH,2017,Site2021_117,117,117,UNOCCUPIED,OH,2017,Site2021_117,1380,25000,184969,2.181971586,28.25,-7.28000021,277.9631653,0.403086662,242.2487666,529.5950012,285.864329,0.945216646,1863,2.818168998,0.000114431,45.69329834,0.00904018
84,84,UNOCCUPIED,OH,2017,Site2021_84,84,84,UNOCCUPIED,OH,2017,Site2021_84,1400,13900,173485,2.968661254,28.54000092,-6.739999771,283.1230164,0.408012629,261.2138803,525.0972988,264.9233616,0.935608353,1861.142857,6.277865205,7.58427E-05,5.733555385,0.0261105
308,308,UNOCCUPIED,OH,2021,Site2021_308,308,308,UNOCCUPIED,OH,2021,Site2021_308,1400,8575,225765,3.77964473,26.57999992,-6.809999943,303.3940125,0.408944011,264.6056091,484.247998,218.9153961,0.920772588,1911.6,19.37371998,0.000579119,9.254391527,0.0164642
367,367,UNOCCUPIED,OH,2015,Site2021_367,367,367,UNOCCUPIED,OH,2015,Site2021_367,1410,11225,207571,3.327100706,26.54999924,-6.659999847,292.0202026,0.392562926,266.0735067,499.8839111,233.7573191,0.950981021,1879.666667,10.67744255,9.19302E-05,-7.052001953,0.00545441
148,148,UNOCCUPIED,PU,2016,Site2021_148,148,148,UNOCCUPIED,PU,2016,Site2021_148,1460,11675,68939,3.378037138,27.84000015,-6.510000229,378.5146484,0.473723471,320.3633423,543.2114258,222.8480682,0.961239934,1809,13.35592937,0.000140816,-9.999572754,0.0268428
725,725,UNOCCUPIED,PU,2021,Site2021_725,725,725,UNOCCUPIED,PU,2021,Site2021_725,1610,11125,243724,3.816065978,26.45999908,-6.809999943,277.5989075,0.385478556,290.573967,449.5446548,159.2950745,0.859381109,1914.75,14.41861522,6.91116E-05,-35.60858154,0.0651246
149,149,UNOCCUPIED,OS,2015,Site2021_149,149,149,UNOCCUPIED,OS,2015,Site2021_149,1740,15025,145897,3.548804022,26.27000046,-7.28000021,302.4118347,0.402898222,284.6572876,486.6730303,201.8667951,0.944418984,1987,16.10953522,0.000201651,24.01874651,0.0178531
92,92,UNOCCUPIED,PU,2017,Site2021_92,92,92,UNOCCUPIED,PU,2017,Site2021_92,1800,13175,175322,3.920461577,28.32999992,-6.699999809,268.4098206,0.40348357,260.9453796,532.5878662,271.4874878,0.954965389,1835.8,6.815155172,3.38078E-05,8.195947266,0.0213883
625,625,UNOCCUPIED,OH,2019,Site2021_625,625,625,UNOCCUPIED,OH,2019,Site2021_625,1880,29075,268945,2.756373058,28.05999947,-7.730000019,247.1680145,0.391581267,253.3692932,450.1005554,196.7312744,0.817968607,1768.4,23.8403141,0.000474334,-8.790625,0.0256307
